,Civilian_Strikes,Infrastructure_Strikes,Energy_Strikes,Civilian_%,Infrastructure_%,Energy_%,Total
Kharkiv,955,431,62,25.7,24.6,17.3,1386
Donetsk,804,305,54,21.6,17.4,15.1,1109
Kherson,577,139,21,15.5,7.9,5.9,716
Zaporizhia,300,166,29,8.1,9.5,8.1,466
Dnipropetrovsk,170,170,67,4.6,9.7,18.7,340
Kyiv,238,71,16,6.4,4.0,4.5,309
Mykolaiv,187,118,21,5.0,6.7,5.9,305
Luhansk,148,130,20,4.0,7.4,5.6,278
Sumy,120,92,23,3.2,5.2,6.4,212
Chernihiv,109,35,0,2.9,2.0,0.0,144
Kyiv City,45,35,10,1.2,2.0,2.8,80
Odesa,32,14,0,0.9,0.8,0.0,46
Zhytomyr,19,27,6,0.5,1.5,1.7,46
Lviv,7,11,7,0.2,0.6,2.0,18
Crimea,10,0,5,0.3,0.0,1.4,10
Vinnytsia,0,10,10,0.0,0.6,2.8,10
Poltava,0,0,7,0.0,0.0,2.0,0
